text,toxic,source
he had steel balls too !,1,paradetox
"dude should have been taken to api , he would be right at home with all the other knuckleheads there",1,paradetox
"im not gonna sell the fucking picture , i just want to contribute to the fucking article .",1,paradetox
the garbage that is being created by cnn and other news agencies is outrageous .,1,paradetox
the reason they dont exist is because neither is a pathological liar like trump .,1,paradetox
i hope they beat each other silly .,1,paradetox
no good bastards that we are and we are unrepentant about it .,1,paradetox
stop the coverage and let em rot .,1,paradetox
delete the page and shut up,1,paradetox
honestly catcalling really sounds stupid .,1,paradetox
every time you flag the post like a coward you make my point .,1,paradetox
only to replaced by another braindead consensus .,1,paradetox
this is a free country that protectsamendment rights from little commies like you .,1,paradetox
more proof that liberalism might be a mental disorder .,1,paradetox
it would be stupid not to .,1,paradetox
"i was just feeding him back his own , hypocritically selfrighteous words .",1,paradetox
the police dont have time for this crap .,1,paradetox
"i want you all to myself , you sexy beast .",1,paradetox
"if any of the cry babies who dont respect democracy come , it will be the stupid drain",1,paradetox
the stupid dems cheered when a sp was appointed .,1,paradetox
some idiots put that to overshadow the war .,1,paradetox
"disgusting , immoral people , rightwing extremists , who should be driven out of office asap .",1,paradetox
"hello , you sexy little lovehole ! .",1,paradetox
neither will anything change from this crap .,1,paradetox
im here reading the usual garbage posts from the usual right wing suspects .,1,paradetox
time to pull this rubbish .,1,paradetox
you have neither the honesty nor the maturity to admit that you said something stupid .,1,paradetox
"the same government that dont know its elbow from their ass , that cant even manage a shebeen properly .",1,paradetox
what a chicken crap excuse for a reason .,1,paradetox
the election of van der bellen was a victory for stupidity and cultural suicide .,1,paradetox
crazy like a fox the wily president trump kept slimy james comey on the straight and narrow .,1,paradetox
generous seperation packages my ass !,1,paradetox
delete the page and shut up,1,paradetox
"clinton is a loser , twice .",1,paradetox
"obama has been a total failure , and now looks like a sore loser .",1,paradetox
if you arent frightened i think you are an idiot,1,paradetox
"damn , he was back home and should have stayed there .",1,paradetox
you tried make an irrelevant point by using a really dumb generalization .,1,paradetox
voting for her if the examiner and mitch the establishment bitch dont like her,1,paradetox
"jeez , our voters vote in some stupid people .",1,paradetox
i dont remember any stupid moves .,1,paradetox
the garbage that is being created by cnn and other news agencies is outrageous .,1,paradetox
government sucks the life out of an economy .,1,paradetox
some idiots no longer believe in national sovereignty .,1,paradetox
"he traveled to amarillo , from alaska , and proceeded to make an arse of himself .",1,paradetox
how many niggers does it take to change a light bulb ?,1,paradetox
these exam retakes and try until you pass ideas mean any idiot can get credentials for any profession anytime .,1,paradetox
the message is pbot doesnt give a shit about you .,1,paradetox
"if he was such a bad driver and got into stupid situations , i would not bailed him out .",1,paradetox
he is working with russia to take down america and clowns like you are too clueless to notice .,1,paradetox
"trump has been kickin ass forths , and you still havent figured out he is da man .",1,paradetox
it is truly incredible how hypocritical you are .,1,paradetox
some stinks cannot be unstunk .,1,paradetox
damn those young mothers driving their children to daycare through the snow drifts .,1,paradetox
mckenna social justice warrior but big spender hypocrite on expensive government vehicles cut ! .,1,paradetox
"its a crock of shit , and you know it .",1,paradetox
wikipedia review and tell the world why you not a grand dickhead,1,paradetox
we arecountry of losers and abusers .,1,paradetox
"good , dont let the door hit you in the butt as you leave this conversation mr .",1,paradetox
our court system is so screwed and if he is caught he will only get out again .,1,paradetox
will never willingly watch that crap ever again .,1,paradetox
she is looking like shite .,1,paradetox
btw jonhson county is a real shithole in case you were wondering .,1,paradetox
only churches give a crap it seems .,1,paradetox
may karma be with this scumbag .,1,paradetox
"hey , you are a chicken shit coward .",1,paradetox
why are canadians so taken up with hockey when their teams are all losers ?,1,paradetox
canada would be very glad to be mexicos soul mate if mexico would stop being such a mess .,1,paradetox
"however , she is not out saying stupid things like trump on a daily basis .",1,paradetox
"keep crying me a river , bitch boy .",1,paradetox
"oh , one more thing , when it comes to prehistoric life , you guys are idiots !",1,paradetox
"since only idiots would take politcal cues from facebook , i can see why the democrat party is alarmed !",1,paradetox
the crisis of opioid deaths is a direct result of the stupid and corrupt policy of prohibition .,1,paradetox
this is a free country that protectsamendment rights from little commies like you .,1,paradetox
micronesians are being treated like cockroach families ? .,1,paradetox
"this garbage has a right to speak , no matter how vile his message .",1,paradetox
theyre from the same dung heap .,1,paradetox
"would he have ended these cash for access , buy a political whore events if he wasnt caught ? .",1,paradetox
"until feminists take on islam and how it treats women , the entire movement is a total farce !",1,paradetox
countless crap has been spotted by me .,1,paradetox
"dear alaexis , this kid is an asshole , does not understand anything , an idiot .",1,paradetox
"this is all coming out of our darned pockets , and i am not confident !",1,paradetox
outsideryou are an idiot to make such an ignorant remark .,1,paradetox
i didnt vote for the liar,1,paradetox
i wouldnt spend dollar one in that racist hellhole .,1,paradetox
do they think we are really stupid or just too lazy to stop them ? .,1,paradetox
"thats not a policy , thats nothing but bull pucky for the ignorant masses .",1,paradetox
you dont need to be hurting their families even more by posting ignorant judgemental comments .,1,paradetox
better than any of the bums currently quarterbacking this sht show .,1,paradetox
the free world doesnt need your stupidity .,1,paradetox
i stand by my ridiculous statement that planned parenthood and the illegal alien apologists were behind the marches .,1,paradetox
"sore losers , cry babiesfake news !",1,paradetox
now to digest it for you the above sentence ( quoted ) is downright stupid .,1,paradetox
some idiots put that to overshadow the war .,1,paradetox
thats all the garbage you can come up with to bash trump ?,1,paradetox
can you see how ridiculous these cases are becoming ?,1,paradetox
the ship of fools are sailing full speed ahead .,1,paradetox
"did you read the article at all , or are you just another one of the gupta stooges ?",1,paradetox
wikipedia review and tell the world why you not a grand dickhead,1,paradetox
maybe your bitchass needs to chill the fuck out some time .,1,paradetox
"easy answer to the last question , of course hes dumb .",1,paradetox
theyre despicable scum trying to take healthcare from millions so they can give tax breaks to billionaires .,1,paradetox
"he is morally bankrupt , intellectually lazy , and preternaturally greedy hewell quit before hes impeached .",1,paradetox
so sad the voters in her district are stupid enough to continue to elect her .,1,paradetox
the second is also untrue to the point of idiocy .,1,paradetox
"damn , he was back home and should have stayed there .",1,paradetox
"for these two fat , dumb , and stupid is no way to go through life .",1,paradetox
"im sure some is political bias , some cover your butt and pretend theres nothing wrong .",1,paradetox
the us is one sick crazy hell of a place .,1,paradetox
in response to your last paragraph rubbish .,1,paradetox
hell no dont you fucking talk back to me,1,paradetox
this is a free country that protectsamendment rights from little commies like you .,1,paradetox
"wow , talk about an ignorant comment .",1,paradetox
you have neither the honesty nor the maturity to admit that you said something stupid .,1,paradetox
thank you for taking the time to display for all your riveting ignorance .,1,paradetox
"its a crock of shit , and you know it .",1,paradetox
read a book you antisemite !,1,paradetox
this whole article sucks the balls .,1,paradetox
will corrupt twisters of rotten laws make flimsy excuses for their abuses ?,1,paradetox
so i would presume their use of our tax dollars amount to over a million dollars idiot ! .,1,paradetox
im more likely to switch back to conservative than vote for these clowns .,1,paradetox
