text,toxic,source
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0,hate_speech
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,hate_speech
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,hate_speech
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,hate_speech
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,hate_speech
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,hate_speech
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,hate_speech
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,hate_speech
""" &amp; you might not get ya bitch back &amp; thats that """,1,hate_speech
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,hate_speech
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,hate_speech
""" Murda Gang bitch its Gang Land """,1,hate_speech
""" So hoes that smoke are losers ? "" yea ... go on IG",1,hate_speech
""" bad bitches is the only thing that i like """,1,hate_speech
""" bitch get up off me """,1,hate_speech
""" bitch nigga miss me with it """,1,hate_speech
""" bitch plz whatever """,1,hate_speech
""" bitch who do you love """,1,hate_speech
""" bitches get cut off everyday B """,1,hate_speech
""" black bottle &amp; a bad bitch """,1,hate_speech
""" broke bitch cant tell me nothing """,1,hate_speech
""" cancel that bitch like Nino """,1,hate_speech
""" cant you see these hoes wont change """,1,hate_speech
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1,hate_speech
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,hate_speech
""" her pussy lips like Heaven doors "" &#128524;",1,hate_speech
""" hoe what its hitting for """,1,hate_speech
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,hate_speech
""" i need a trippy bitch who fuck on Hennessy """,1,hate_speech
""" i spend my money how i want bitch its my business """,1,hate_speech
""" i txt my old bitch my new bitch pussy wetter """,1,hate_speech
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,hate_speech
""" if you aint bout that Murder Game pussy nigga shut up """,1,hate_speech
""" if you're toes ain't done you pussy stinks """,1,hate_speech
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,hate_speech
""" is that ya bitch """,1,hate_speech
""" it aint nothing to cut a bitch off """,1,hate_speech
""" jus meet son now he ya mane ass bitches "" #Shots",1,hate_speech
""" lames crying over hoes thats tears of a clown """,1,hate_speech
""" like Snoop said in 94 we dont love these hoes """,1,hate_speech
""" momma said no pussy cats inside my doghouse """,0,hate_speech
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,hate_speech
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,hate_speech
""" pimps up pimps up hoes down "" Future voice",1,hate_speech
""" post a picture of that pussy get 200 likes """,1,hate_speech
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,hate_speech
""" quick piece of pussy call it a drive by """,1,hate_speech
""" running round here like some brand new pussy thats bout to get fucked """,1,hate_speech
""" these bitches even worst they'll send them guys for you """,1,hate_speech
""" these hoes like niggas that spend money not talk bout it """,1,hate_speech
""" we dont trust these niggas all these bitches """,1,hate_speech
""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,hate_speech
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",1,hate_speech
""" young Pill Chamberlain these bitches love my music """,1,hate_speech
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1,hate_speech
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1,hate_speech
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1,hate_speech
"""&amp; he's gone always be a hoe""",1,hate_speech
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1,hate_speech
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",1,hate_speech
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",1,hate_speech
"""@A7XDemery: I'm a fucking fag they said""",1,hate_speech
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1,hate_speech
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0,hate_speech
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1,hate_speech
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",1,hate_speech
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",0,hate_speech
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0,hate_speech
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1,hate_speech
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1,hate_speech
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",0,hate_speech
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1,hate_speech
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",1,hate_speech
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",1,hate_speech
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1,hate_speech
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",0,hate_speech
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",1,hate_speech
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,hate_speech
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",1,hate_speech
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,hate_speech
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,hate_speech
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",1,hate_speech
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",1,hate_speech
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",1,hate_speech
