text,true_label,bert_prediction,bert_confidence,gpt2_explanation,gpt2_message,correct
"It was an illegal lease.  Get out of that building and sue for the money bilked.  Somehow, our leaders have been captured and are still enamored with the great developer/ landlord/ pocket liner.  How tone deaf can they be.  That building will always be the Taj MaHawker.  And as long as the legislature is in there, the resentment will simmer and will not fade.  How freaking tone deaf can our public officials be?  Even the city.  None of them should be touching that building with a 10-foot pole, brokering a deal, etc.  What, Pfeffer and Acre get private audiences with the whole leadership apparatus, and gets to pull the strings?  Was Gottstein or anyone from the public there to voice the public's interest?  Let it go to market.  The free market.  And get out from under the stain and attempt to stand up for some of our public dollars that have been squandered.  This article made me scream out at breakfast this morning, ""Motherf***ers!""",1,0,0.9736306667327881,,Comment is safe,False
It seems to be no coincidence that these trolls appear on weekends.,0,1,0.6425192952156067,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",1,0,0.878272294998169,,Comment is safe,False
"do society a favor and crawl back under your rock , kenny !",1,0,0.5520782470703125,,Comment is safe,False
mental midgets think that the chain saw is the only answer to forest health .,1,0,0.5842154026031494,,Comment is safe,False
Me and da @iamcolinquinn gonna do a reboot of da Jeffersons. Only dis time he gonna be Weezy and we married pre op trannies,1,0,0.814885139465332,,Comment is safe,False
ahahahh!!ping pang POW! HOW U LIKE ME NOW! Shouts out 2 my bro Dre Hogg Style Ent! Uza fool 4 dis 1,0,1,0.8877412676811218,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"RT @OhWowThatsAwk: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 fo&#8230;",0,1,0.8278024196624756,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
we need protection from muslims since they have showed how dangerous they are .,1,0,0.8303921818733215,,Comment is safe,False
"It's only tragic for people like you who are going to be on the receiving end of the nastiness and mean-spiritedness. But your hurt feelings are just collateral damage. We don't get rid of the cancer that is leftist doctrine with an aspirin; we get rid of it with radiation, chemotherapy or other unpleasant treatment.",1,0,0.9861948490142822,,Comment is safe,False
"Man, I'm wish big booty bytches would use some other nickname other than Judy... Shy is so typical and old..",1,0,0.6007034778594971,,Comment is safe,False
"the whole lot of conservatives are a waste of news space , air space and parliament space .",1,0,0.5855937600135803,,Comment is safe,False
RT @cigarsNscotch: What's black and yellow and not going to win this year? WRONG! The answer is Tiger Woods.,1,0,0.9793111681938171,,Comment is safe,False
Cigarette break nd wtf are Mt eyes glowing like Charlie Murphy in the madd real world lol http://t.co/eRkuSr3Q,1,0,0.923069179058075,,Comment is safe,False
@iStricer You are hairy like a monkey. : P,0,1,0.7163619995117188,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"Gay, Muslim,no anglophone,white males might be able to arrange something under the right circumstance.",0,1,0.583401620388031,"it contains inappropriate content. There are better ways to express your thoughts constructively. Consider saying any of the following:
- Let me rephrase that in a more appropriate way.
- I can say that more clearly and respectfully.
- Here's a better way to express that.",,False
@_BDOE bro u trash at that zombies,0,1,0.7429173588752747,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
just the looks of her is revolting .,1,0,0.7609588503837585,,Comment is safe,False
I'm a sucker for colored eyes &#128532;&#128532;,0,1,0.8213860392570496,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
My mistake. I knew there was problem when I wrote that. I meant hypocritical. Democrats are often called hypocritical. And there is a lot of truth in that. Reid and O'Connel this morning were both two faced about their earlier efforts to block the nominating process or their previous support for it. Each had exactly different views than they professed before.,1,0,0.9972646236419678,,Comment is safe,False
"I guess I would say that you, as a man, haven't had to deal with systematic oppression based on your gender and that you are part of the dominant group and therefore have the luxury of thinking that gender doesn't play a role in anything. And thank you for telling me who I want to vote for! I won't say it was your testicles that helped you do it, but I don't think they hurt in this situation either.",1,0,0.9932457804679871,,Comment is safe,False
It's ironic that a Catholic bishop is asking the legislators for so-called protection from being forced to marry same-sex couples when the Catholic priests across the world are sexually assaulting children.  Take the beam out of thine own eye bishop  before you try and take a sliver out of a homosexual's eye.  There must  be laughter in Heaven and Hell.,1,0,0.9317728281021118,,Comment is safe,False
U coons watching love and hip hop ain't you,1,0,0.7339599132537842,,Comment is safe,False
Is there a full moon out? #CrazyAssholes out in full force and I'm not talking about muzzies or liberals&#8252;&#65039; And I'm in the mood to oblige.,1,0,0.9657422304153442,,Comment is safe,False
"Yes, it's a good idea to slow down and drive safely in these neighborhoods. No it's not a good idea to put up fake signs on this scale, you're not much better than graffiti artists. 

Because of the tactics involved people who would otherwise be supportive are talking about tearing these signs down. It's one thing to have a good idea and shop it around to the city and neighbors it's quite another to become a self-appointed arbiter. 

""Agent 1"" is simply a coddled child unable to come to terms with how grown-ups approach issues in an adult world. This idiot simply chose to alienate everyone rather than take the time to develop a long-lasting solution.",1,0,0.9968400001525879,,Comment is safe,False
@jaredlikelndn monkey dong,1,0,0.5002947449684143,,Comment is safe,False
RT @Black__Elvis: My favorite episode of Friends is the one where blacks mysteriously vanish and unemployed white people find affordable ho&#8230;,0,1,0.872753381729126,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
I can't post a comment about rats on a sinking ship but letters like this are even published in the first place? Screw your civil comments garbage because they're all one sided. The left side. BS.,1,0,0.679377019405365,,Comment is safe,False
I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit &#128545;,1,0,0.7824817299842834,,Comment is safe,False
Get this monkey off my back...,0,1,0.6266149878501892,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
